               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090241,            0.023208,              0.0368,            0.029043,            0.034911,            0.012068,             0.00406,            0.061582,            0.011824,            0.031153,            0.070152,           0.0033164,           0.0033164
                   1,            0.072485,            0.024301,            0.035729,            0.026832,           0.0097957,           0.0027809,          0.00064895,            0.053527,           0.0092919,            0.024477,            0.039823,           0.0063206,           0.0063206
                   2,            0.066437,            0.024588,             0.03437,           0.0029816,             0.87212,            0.010946,           0.0027514,            0.043398,            0.010333,            0.023752,            0.009164,           0.0089948,           0.0089948
                   3,            0.061599,            0.026139,            0.034303,           0.0030717,             0.89328,            0.014569,           0.0037751,            0.038532,            0.011358,            0.023552,            0.008515,            0.008515,            0.008515
                   4,            0.053919,             0.02669,            0.034153,            0.017567,             0.21922,            0.033289,           0.0088697,            0.034897,            0.012928,             0.02342,            0.008515,            0.008515,            0.008515
                   5,            0.049383,            0.025148,            0.033877,             0.73536,             0.14715,             0.12451,            0.028135,            0.034696,            0.013516,             0.02818,             0.00802,             0.00802,             0.00802
                   6,             0.04586,            0.023888,            0.032435,              0.2875,             0.44266,             0.32108,            0.091637,            0.030391,            0.007978,            0.019041,            0.007525,            0.007525,            0.007525
                   7,            0.042966,            0.022709,            0.031029,             0.33908,              0.5628,             0.34917,             0.10552,            0.030356,           0.0085374,            0.016306,             0.00703,             0.00703,             0.00703
                   8,            0.041585,            0.021935,            0.028814,             0.41749,             0.62838,             0.51656,             0.18684,            0.028516,           0.0076446,            0.015294,            0.006535,            0.006535,            0.006535
                   9,            0.040874,            0.021211,            0.025246,             0.63039,             0.67387,             0.66644,              0.2461,            0.026783,           0.0074312,           0.0099873,             0.00604,             0.00604,             0.00604
                  10,            0.039199,            0.020607,            0.022318,             0.65957,             0.68691,             0.73256,             0.27801,            0.026261,           0.0070231,           0.0083091,            0.005545,            0.005545,            0.005545
                  11,            0.038411,            0.020418,            0.021479,             0.68186,             0.68865,             0.70232,             0.25909,            0.029174,           0.0073854,           0.0066428,             0.00505,             0.00505,             0.00505
                  12,            0.037751,            0.019945,            0.019516,             0.71659,             0.70499,             0.70756,             0.27195,            0.025612,           0.0074121,           0.0085788,            0.004555,            0.004555,            0.004555
                  13,            0.036598,            0.019584,            0.018628,              0.7628,             0.75489,             0.78296,             0.32536,            0.025981,            0.006382,           0.0054714,             0.00406,             0.00406,             0.00406
                  14,            0.036753,            0.019072,            0.017124,             0.59617,             0.63016,             0.60954,             0.22069,            0.028822,           0.0070361,           0.0058941,            0.003565,            0.003565,            0.003565
                  15,             0.03542,            0.019036,             0.01617,             0.76233,             0.71084,             0.76412,             0.31572,            0.024293,           0.0068866,           0.0038725,             0.00307,             0.00307,             0.00307
                  16,            0.035087,            0.018738,            0.016294,              0.8876,             0.85766,             0.89774,             0.42213,            0.021863,           0.0059763,           0.0034103,            0.002575,            0.002575,            0.002575
                  17,             0.03432,            0.018558,            0.014827,             0.84337,              0.8456,             0.86754,             0.41375,            0.022219,           0.0062369,           0.0028452,             0.00208,             0.00208,             0.00208
                  18,            0.033338,            0.018418,            0.014004,             0.83753,             0.85375,             0.88505,             0.41135,            0.022246,           0.0060479,           0.0033208,            0.001585,            0.001585,            0.001585
                  19,            0.033271,            0.018289,            0.013125,             0.83346,             0.87603,              0.8877,             0.42421,             0.02175,           0.0061037,           0.0028334,             0.00109,             0.00109,             0.00109
